comment,valence,comment_cut
上网课可以么,1,上网 课 可以 么
我因为毕业院校填了北京科技大学，被拒签了,1,我 因为 毕业 院校 填 了 北京科技大学 ， 被 拒签 了
不要觉得川普癫，他每走的一步棋都釜底抽薪的狠招！普通人做不到他这么针针见血,1,不要 觉得 川普癫 ， 他 每 走 的 一步棋 都 釜底抽薪 的 狠招 ！ 普通人 做 不到 他 这么 针针 见 血
挺好的，人才都回来吧，国家自己用,1,挺 好 的 ， 人才 都 回来 吧 ， 国家 自己 用
学费退吗？,1,学费 退 吗 ？
时代在变化要有人才走遍天下，世界才有和平的伟大。,1,时代 在 变化 要 有 人才 走遍 天下 ， 世界 才 有 和平 的 伟大 。
学费退吗,1,学费 退 吗
鹰酱也意识到了兔子在摸着它过河~,1,鹰酱 也 意识 到 了 兔子 在 摸 着 它 过河 ~
特朗普这么做一定有他的原因,1,特朗普 这么 做 一定 有 他 的 原因
回中国，来清北浙复等名校,1,回 中国 ， 来 清北 浙复 等 名校
大家可以关注5.29的听证会～ 至少暂时学校是正常运行滴 因为拿到了 TRO 目前 所以暂时我们不受影响～,1,大家 可以 关注 5.29 的 听证会 ～   至少 暂时 学校 是 正常 运行 滴   因为 拿到 了   TRO   目前   所以 暂时 我们 不 受 影响 ～
闭关锁国川普是在行的,1,闭关锁国 川普是 在 行 的
先移民美国读高中，然后再考试,1,先 移民 美国 读 高中 ， 然后 再 考试
遥遥领先,1,遥遥领先
好好好,1,好好 好
这件事情真的只有这件事情吗？,1,这件 事情 真的 只有 这件 事情 吗 ？
校方能这么钢，已经非常好了,1,校方 能 这么 钢 ， 已经 非常 好 了
这个与我无关，能出国留学的家底不简单，轮不到我去心疼,1,这个 与我无关 ， 能 出国 留学 的 家底 不 简单 ， 轮不到 我 去 心疼
哈弗大学开分校吧，在中国欢迎开分校,1,哈弗 大学 开 分校 吧 ， 在 中国 欢迎 开 分校
回国就业环境也很不好。还是留在美国就业好一些,1,回国 就业 环境 也 很 不好 。 还是 留在 美国 就业 好 一些
也就博弈一段时间吧，声势搞大一点，后面谈着谈着估计就和好了,1,也 就 博弈 一段时间 吧 ， 声势 搞 大 一点 ， 后面 谈着 谈 着 估计 就 和 好 了
凡事都有两面性。,1,凡事 都 有 两面性 。
你们这么爱国回来吧！我们的清华北大也是世界顶级名校。,1,你们 这么 爱国 回来 吧 ！ 我们 的 清华北大 也 是 世界 顶级 名校 。
给美国输送人才跟GDP都不要,1,给 美国 输送 人才 跟 GDP 都 不要
不用担心，父母有能力,1,不用 担心 ， 父母 有 能力
校方不是采取法律行动了吗？再等等看吧。,1,校方 不是 采取 法律 行动 了 吗 ？ 再 等等 看吧 。
驱逐就上网课到毕业,1,驱逐 就 上网 课到 毕业
不坑穷人,1,不坑 穷人
其他学校会效仿不,1,其他 学校 会 效仿 不
我觉得很正常吧，天下大事分久必合 合久必分，提升自身，内在有激情，还要从容不迫！,1,我 觉得 很 正常 吧 ， 天下大事 分久必合   合久必分 ， 提升 自身 ， 内在 有 激情 ， 还要 从容不迫 ！
我也算是见证历史了,1,我 也 算是 见证 历史 了
我的朋友都没有😂,1,我 的 朋友 都 没有 😂
哈，川普这是挖美国的根啊,1,哈 ， 川普 这 是 挖 美国 的 根 啊
建议国内高等学校学习一下美国的做法,1,建议 国内 高等学校 学习 一下 美国 的 做法
金毛针对的是民主党的摇篮，他们就只是被波及了，那没办法，自由美利坚，金毛赢一天。,1,金毛 针对 的 是 民主党 的 摇篮 ， 他们 就 只是 被 波及 了 ， 那 没 办法 ， 自由 美利坚 ， 金毛 赢 一天 。
川普真棒,1,川普 真棒
反正我是很开心的，看见这些权贵花了几百万，还拿不到哈弗学历，我很开心,1,反正 我 是 很 开心 的 ， 看见 这些 权贵 花 了 几百万 ， 还 拿 不到 哈弗 学历 ， 我 很 开心
太好了,1,太好了
各国的留学生们想回来香港/内地，可协助,1,各国 的 留学生 们 想 回来 香港 / 内地 ， 可 协助
都回来吧！,1,都 回来 吧 ！
可以这么玩，先开除所有同学哈佛校籍，等拨款到账后，又给同学们偷摸发毕业证书,1,可以 这么 玩 ， 先 开除 所有 同学 哈佛 校籍 ， 等 拨款 到 账后 ， 又 给 同学 们 偷摸 发 毕业证书
棒棒的天欲其亡，必令其狂,1,棒棒 的 天欲 其亡 ， 必令 其狂
全部来中国哈弗也来中国办学,1,全部 来 中国 哈弗 也 来 中国 办学
回国清华北大直接招收就完了,1,回国 清华北大 直接 招收 就 完 了
很多人是钱💰 砸进去 进的哈佛 事出必有因,1,很多 人 是 钱 💰   砸 进去   进 的 哈佛   事出 必有 因
私立的无所谓吧,1,私立 的 无所谓 吧
这不是很好吗，美国那么坏，坚决不去美国留学,1,这 不是 很 好 吗 ， 美国 那么 坏 ， 坚决 不去 美国 留学
因为特朗普接到举报，哈佛学生有的在补习加减乘除,1,因为 特朗普 接到 举报 ， 哈佛 学生 有 的 在 补习 加减乘除
挺好的,1,挺 好 的
我早就知道会出现这种情况，所以我就没去哈佛,1,我 早就 知道 会 出现 这种 情况 ， 所以 我 就 没 去 哈佛
留学生转回国发展 找工作都是难上加难,0,留学生 转 回国 发展   找 工作 都 是 难上加难
阿弥陀佛,0,阿弥陀佛
这事发生在自己身上真的崩溃。,0,这 事 发生 在 自己 身上 真的 崩溃 。
感觉像是霍格沃兹强行被魔法部接管了,0,感觉 像是 霍 格沃兹 强行 被 魔法 部 接管 了
炮灰真的多,0,炮灰 真的 多
把哈弗给炸了,0,把 哈弗给 炸 了
你们本来就不应该留在美国！祖国培养你们，你们去为美国做贡献！,0,你们 本来 就 不 应该 留在 美国 ！ 祖国 培养 你们 ， 你们 去 为 美国 做 贡献 ！
留学向来是和平时候才有的事,0,留学 向来 是 和平 时候 才 有 的 事
说不定哪天，美国所有的学校都会驱逐外国学生,0,说不定 哪 天 ， 美国 所有 的 学校 都 会 驱逐 外国 学生
特不靠谱说的话跟美国的信用评价降级一样,0,特 不靠 谱 说 的话 跟 美国 的 信用 评价 降级 一样
刚入的哈佛刚入的哈佛刚入的哈佛被退了,0,刚入 的 哈佛 刚入 的 哈佛 刚入 的 哈佛 被 退 了
火中取栗,0,火中取栗
现在的问题不仅仅是学业 这涉及到国际学生在美的法律权益,0,现在 的 问题 不仅仅 是 学业   这 涉及 到 国际 学生 在 美的 法律 权益
真有格局……,0,真有 格局 … …
什么意思？针对所有的国际生吗？,0,什么 意思 ？ 针对 所有 的 国际 生 吗 ？
只想说一句：这老东西,0,只想 说 一句 ： 这 老东西
为什么都要去美国哈弗去留学 ？自找的....,0,为什么 都 要 去 美国 哈弗去 留学   ？ 自找 的 ....
另一种绑架人质,0,另 一种 绑架人质
很多都是留美国不回来了 视频里这个女学生一开始就说打算留美国，后来感觉在采访这么说不好，才委婉说打算留美工作一段时间再回国。,0,很多 都 是 留 美国 不 回来 了   视频 里 这个 女 学生 一 开始 就 说 打算 留 美国 ， 后来 感觉 在 采访 这么 说 不好 ， 才 委婉 说 打算 留美 工作 一段时间 再 回国 。
退学费,0,退 学费
幸亏没上哈佛,0,幸亏 没 上 哈佛
特朗普破坏4+4原则,0,特朗普 破坏 4 + 4 原则
特朗普把大家当猴耍,0,特朗普 把 大家 当猴 耍
看来只能换国籍学习了,0,看来 只能 换 国籍 学习 了
希望国内不要给这个女生一丁点支持这发言明显不会回国，跟国内发展没半毛钱关系,0,希望 国内 不要 给 这个 女生 一丁点 支持 这 发言 明显 不会 回国 ， 跟 国内 发展 没半 毛钱 关系
真的挺荒谬的，其实站在留学生的角度应该很挫败吧，能到哈佛上学的留子应该都是很优秀且骄傲的走来，结果竟然作为两方博弈的牺牲品，且得不到任何的实质保护，也算是上天给他们的一道课题了,0,真的 挺 荒谬 的 ， 其实 站 在 留学生 的 角度 应该 很 挫败 吧 ， 能 到 哈佛 上学 的 留子 应该 都 是 很 优秀 且 骄傲 的 走来 ， 结果 竟然 作为 两方 博弈 的 牺牲品 ， 且 得不到 任何 的 实质 保护 ， 也 算是 上天 给 他们 的 一道 课题 了
太可笑了,0,太 可笑 了
哈佛拿什么实际行动来保护，又不是武装军队,0,哈佛 拿 什么 实际行动 来 保护 ， 又 不是 武装 军队
老美这是要闭关锁国么,0,老美 这 是 要 闭关锁国 么
为什么只有哈佛？没有其他藤校？,0,为什么 只有 哈佛 ？ 没有 其他 藤校 ？
这是个笑话，特是个笑话！,0,这 是 个 笑话 ， 特是 个 笑话 ！
美国特朗普太邪恶了,0,美国 特朗普 太 邪恶 了
川普真的很奇葩！,0,川普 真的 很 奇葩 ！
啊不是吧,0,啊 不是 吧
某种程度上，特朗普政府的这一做法是不自信的表现。敞开怀抱，接受各国优秀学子是美国未来发展的基石。显然特郎普政府有点病急乱投医。,0,某种程度 上 ， 特朗普 政府 的 这 一 做法 是 不 自信 的 表现 。 敞开 怀抱 ， 接受 各国 优秀 学子 是 美国 未来 发展 的 基石 。 显然 特郎普 政府 有点 病急乱投医 。
哇塞，特lp的套路还真是……水能载舟亦能覆舟，懂的都懂,0,哇塞 ， 特 lp 的 套路 还 真是 … … 水能载舟 亦能覆舟 ， 懂 的 都 懂
为啥啊？国际生招惹他了吗？没懂为啥要禁止招国际生,0,为啥 啊 ？ 国际 生 招惹 他 了 吗 ？ 没 懂 为啥 要 禁止 招 国际 生
要么直接美国国籍，要么回国,0,要么 直接 美国 国籍 ， 要么 回国
人才都不要,0,人才 都 不要
人家好不容易考上了让人家退学啊,0,人家 好不容易 考上 了 让 人家 退学 啊
采访了那么多拿出了三个被吓尿的,0,采访 了 那么 多 拿出 了 三个 被 吓 尿 的
整个一个不靠谱你可以不再招收，居然招收过的还要退学，一点可信度都没有，把脸在都丢了地上,0,整个 一个 不靠 谱 你 可以 不再 招收 ， 居然 招收 过 的 还要 退学 ， 一点 可信度 都 没有 ， 把 脸 在 都 丢 了 地上
千万别回来呀，润出去就有点骨气。,0,千万别 回来 呀 ， 润 出去 就 有点 骨气 。
说白了不想当灯塔了，中国的老公知们也该转向了。,0,说白了 不想 当 灯塔 了 ， 中国 的 老公 知们 也 该 转向 了 。
阻止人类高知文化文明进步？,0,阻止 人类 高知 文化 文明 进步 ？
魔幻的国家，魔幻的总统，倒霉的是外籍普通民众，他送儿子上NYU，是不是怕儿子去藤校会被国际生群殴,0,魔幻 的 国家 ， 魔幻 的 总统 ， 倒霉 的 是 外籍 普通 民众 ， 他 送 儿子 上 NYU ， 是不是 怕 儿子 去藤校 会 被 国际 生 群殴
深刻感受到科学有国界了吧！记住此刻的感受！愿安全归来！,0,深刻 感受 到 科学 有 国界 了 吧 ！ 记住 此刻 的 感受 ！ 愿 安全 归来 ！
造吧把国家造没了那可太好了,0,造 吧 把 国家 造 没 了 那 可 太好了
特朗普发疯again~,0,特朗普 发疯 again ~
打官司索赔,0,打官司 索赔
